D-351300	Demokratie & Teilhabe	Bürgerbeteiligung & Mitbestimmung	korrekt
D-351300	Transparenz & Open Data	Vergabe-, Förder- & Verwaltungstransparenz	falsch
D-351306	Demokratie & Teilhabe	Parlament & Abgeordnetenrechte	korrekt
D-351400	Umwelt, Klima & Energie	Wasser, Gewässer & Abwasser	korrekt
D-351403	Stadtentwicklung, Bauen & Wohnen	Mietregulierung & Mieterschutz	korrekt
D-351403	Stadtentwicklung, Bauen & Wohnen	Sozialer & landeseigener Wohnungsbau	korrekt
D-351701	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-351701	Umwelt, Klima & Energie	Energieversorgung & Wärmewende	grenzfall
D-351704	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-351704	Mobilität & Verkehr	Verkehrsplanung & Verkehrswende	korrekt
D-351704	Umwelt, Klima & Energie	Energieversorgung & Wärmewende	grenzfall
D-351707	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-351707	Mobilität & Verkehr	Verkehrsplanung & Verkehrswende	korrekt
D-351707	Umwelt, Klima & Energie	Erneuerbare Energien & Solar	falsch
D-351800	Innere Sicherheit & Justiz	Extremismus & Verfassungsschutz	korrekt
D-351800	Innere Sicherheit & Justiz	Kriminalitätslage & Kriminalitätsbekämpfung	korrekt
D-351803	Transparenz & Open Data	Informationsfreiheit & Aktenzugang	falsch
D-351803	Umwelt, Klima & Energie	Luftreinhaltung, Lärm & Umweltbelastung	korrekt
D-351803	Verwaltung & Digitales	Datenschutz & Informationssicherheit	korrekt
D-351806	Bezirksbezug	Senat–Bezirk: Zuständigkeit & Steuerung	grenzfall
D-351806	Verwaltung & Digitales	Bürgerämter & Bürgerdienste	korrekt
D-351809	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	falsch
D-351809	Verwaltung & Digitales	E-Government & digitale Verwaltungsleistungen	grenzfall
D-351900	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-351900	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-351903	Demokratie & Teilhabe	Wahlen & Wahlrecht	korrekt
D-351903	Transparenz & Open Data	Statistik- & Berichtspflichten	falsch
D-351906	Migration & Integration	Geflüchtetenunterbringung & Unterkünfte	korrekt
D-351906	Soziales, Arbeit & Familie	Soziale Träger & Förderung	falsch
D-352003	Migration & Integration	Geflüchtetenunterbringung & Unterkünfte	korrekt
D-352006	Migration & Integration	Geflüchtetenunterbringung & Unterkünfte	korrekt
D-352009	Finanzen & Haushalt	Förderungen, Zuwendungen & Projektfinanzierung	falsch
D-352009	Migration & Integration	Migrationsstatistik & -kosten	korrekt
D-352101	Gesundheit & Pflege	Infektionsschutz & Pandemie-Aufarbeitung	korrekt
D-352101	Verwaltung & Digitales	Datenschutz & Informationssicherheit	falsch
D-352104	Bezirksbezug	Bezirkliche Daseinsvorsorge & Infrastruktur	korrekt
D-352104	Gesundheit & Pflege	Öffentlicher Gesundheitsdienst & Prävention	korrekt
D-352107	Mobilität & Verkehr	Radverkehr & Radinfrastruktur	korrekt
D-352203	Innere Sicherheit & Justiz	Kriminalitätslage & Kriminalitätsbekämpfung	korrekt
D-352206	Bildung & Wissenschaft	Unterricht, Qualität & Abschlüsse	grenzfall
D-352206	Verwaltung & Digitales	Datenschutz & Informationssicherheit	korrekt
D-352209	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-352300	Gesundheit & Pflege	Infektionsschutz & Pandemie-Aufarbeitung	korrekt
D-352400	Umwelt, Klima & Energie	Stadtgrün, Bäume & Naturschutz	korrekt
D-352403	Bildung & Wissenschaft	Unterricht, Qualität & Abschlüsse	grenzfall
D-352403	Migration & Integration	Sprachförderung & Bildungsintegration	korrekt
D-352406	Finanzen & Haushalt	Landeshaushalt & Haushaltsführung	korrekt
D-352406	Mobilität & Verkehr	Parkraum & ruhender Verkehr	korrekt
D-352501	Stadtentwicklung, Bauen & Wohnen	Bauleitplanung & Bebauungspläne	korrekt
D-352501	Stadtentwicklung, Bauen & Wohnen	Sozialer & landeseigener Wohnungsbau	korrekt
D-352501	Stadtentwicklung, Bauen & Wohnen	Große Stadtentwicklungsprojekte	grenzfall
D-352507	Gesundheit & Pflege	Öffentlicher Gesundheitsdienst & Prävention	grenzfall
D-352509	Demokratie & Teilhabe	Demokratieförderung & Zivilgesellschaft	grenzfall
D-352509	Kultur & Sport	Erinnerungskultur, Gedenken & Provenienz	korrekt
D-352600	Bildung & Wissenschaft	Hochschulen & Wissenschaft	korrekt
D-352600	Transparenz & Open Data	Vergabe-, Förder- & Verwaltungstransparenz	grenzfall
D-352600	Verwaltung & Digitales	Verwaltungsorganisation & Zuständigkeiten	grenzfall
D-352603	Bezirksbezug	Bezirkliche Daseinsvorsorge & Infrastruktur	grenzfall
D-352603	Umwelt, Klima & Energie	Stadtgrün, Bäume & Naturschutz	korrekt
D-352606	Mobilität & Verkehr	Straßen, Brücken & Verkehrsbauprojekte	korrekt
D-352609	Mobilität & Verkehr	Straßen, Brücken & Verkehrsbauprojekte	grenzfall
D-352701	Finanzen & Haushalt	Landesbeteiligungen & landeseigene Unternehmen	grenzfall
D-352704	Mobilität & Verkehr	Verkehrsplanung & Verkehrswende	korrekt
D-352704	Stadtentwicklung, Bauen & Wohnen	Bauleitplanung & Bebauungspläne	korrekt
D-352707	Bildung & Wissenschaft	Lehrkräfte & Schulpersonal	grenzfall
D-352801	Gesundheit & Pflege	Öffentlicher Gesundheitsdienst & Prävention	korrekt
D-352801	Gesundheit & Pflege	Infektionsschutz & Pandemie-Aufarbeitung	korrekt
D-361109	Bildung & Wissenschaft	Unterricht, Qualität & Abschlüsse	grenzfall
D-361109	Transparenz & Open Data	Statistik- & Berichtspflichten	grenzfall
D-361109	Verwaltung & Digitales	E-Government & digitale Verwaltungsleistungen	falsch
D-361200	Mobilität & Verkehr	Verkehrssicherheit & Verkehrsunfälle	falsch
D-361200	Verwaltung & Digitales	Verwaltungsorganisation & Zuständigkeiten	grenzfall
D-361203	Mobilität & Verkehr	ÖPNV & Nahverkehr	korrekt
D-361206	Mobilität & Verkehr	ÖPNV & Nahverkehr	korrekt
D-361209	Wirtschaft & Tourismus	Flughafen BER & Luftverkehr	korrekt
D-361209	Wirtschaft & Tourismus	Tourismus & Beherbergung	grenzfall
D-361304	Bezirksbezug	Bezirkliche Daseinsvorsorge & Infrastruktur	grenzfall
D-361304	Umwelt, Klima & Energie	Stadtgrün, Bäume & Naturschutz	korrekt
D-361307	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-361307	Mobilität & Verkehr	Fuß- & Schulwegsicherheit	korrekt
D-361400	Bezirksbezug	Senat–Bezirk: Zuständigkeit & Steuerung	grenzfall
D-361400	Umwelt, Klima & Energie	Stadtgrün, Bäume & Naturschutz	korrekt
D-361403	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	grenzfall
D-361403	Verwaltung & Digitales	Verwaltungsmodernisierung & Bürokratieabbau	falsch
D-361407	Umwelt, Klima & Energie	Abfall, Sauberkeit & Kreislaufwirtschaft	korrekt
D-361500	Bildung & Wissenschaft	Kita & frühkindliche Bildung	grenzfall
D-361500	Demokratie & Teilhabe	Bürgerbeteiligung & Mitbestimmung	grenzfall
D-361500	Soziales, Arbeit & Familie	Soziale Daseinsvorsorge & Quartiersangebote	grenzfall
D-361503	Soziales, Arbeit & Familie	Kinder- & Jugendhilfe, Kinderschutz	korrekt
D-361506	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	grenzfall
D-361506	Verwaltung & Digitales	Verwaltungsorganisation & Zuständigkeiten	korrekt
D-361509	Innere Sicherheit & Justiz	Extremismus & Verfassungsschutz	falsch
D-361600	Mobilität & Verkehr	Radverkehr & Radinfrastruktur	korrekt
D-361606	Finanzen & Haushalt	Landesbeteiligungen & landeseigene Unternehmen	grenzfall
D-361606	Soziales, Arbeit & Familie	Arbeitsmarkt, Ausbildung & Fachkräfte	korrekt
D-361609	Bildung & Wissenschaft	Berufliche Bildung & Ausbildung	korrekt
D-361700	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-361700	Stadtentwicklung, Bauen & Wohnen	Große Stadtentwicklungsprojekte	korrekt
D-361700	Wirtschaft & Tourismus	Gewerbeflächen & Gewerberaum	korrekt
D-361703	Demokratie & Teilhabe	Bürgerbeteiligung & Mitbestimmung	grenzfall
D-361703	Stadtentwicklung, Bauen & Wohnen	Große Stadtentwicklungsprojekte	korrekt
D-361706	Mobilität & Verkehr	Verkehrsplanung & Verkehrswende	grenzfall
D-361706	Stadtentwicklung, Bauen & Wohnen	Sozialer & landeseigener Wohnungsbau	korrekt
D-361709	Mobilität & Verkehr	Radverkehr & Radinfrastruktur	korrekt
D-361709	Stadtentwicklung, Bauen & Wohnen	Große Stadtentwicklungsprojekte	falsch
D-361800	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-361804	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-361807	Bezirksbezug	Bezirkliche Daseinsvorsorge & Infrastruktur	grenzfall
D-361807	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-361901	Soziales, Arbeit & Familie	Kinder- & Jugendhilfe, Kinderschutz	korrekt
D-361904	Innere Sicherheit & Justiz	Justiz, Gerichte & Rechtspflege	grenzfall
D-361904	Soziales, Arbeit & Familie	Kinder- & Jugendhilfe, Kinderschutz	korrekt
D-361907	Soziales, Arbeit & Familie	Kinder- & Jugendhilfe, Kinderschutz	korrekt
D-362001	Migration & Integration	Migrationsstatistik & -kosten	korrekt
D-362001	Soziales, Arbeit & Familie	Grundsicherung & soziale Leistungen	korrekt
D-362004	Kultur & Sport	Kulturförderung & Kultureinrichtungen	korrekt
